Label,Confidence,Full Tweet,Sanitized Tweet
neg,1.0,Georgia Gov. Brian Kemp plans to have many of his state's businesses up and running again as soon as Friday: https://t.co/PjvXiuGQsa,georgia gov. brian kemp plans many state's businesses running soon friday:
neg,1.0,"RT @d_s_anderson: @lunajade @ddale8 Things go bad in Georgia and trump will be ""I hardly know the guy, I hear he is the governor of some so…","things go bad georgia trump ""i hardly know guy, hear governor so…"
pos,1.0,"African people of southern states ask your self why you.“ you can get your nails done and your hair permed” They are profiling you knowing that the death rate is higher in our community. Stop,use your conscious. Georgia,Tennessee,and South Carolina your the experiment COVD19🔥✊🏽","african people southern states ask self you.“ get nails done hair permed” profiling knowing death rate higher community. stop,use conscious. georgia,tennessee,and south carolina experiment covd19🔥✊🏽"
neg,1.0,"RT @AppStateNation: Wins Over FBS Opponents Since 2014 (App State and Georgia Southern join FBS), Sun Belt Teams, a bar chart race: https:/…","wins fbs opponents since 2014 (app state georgia southern join fbs), sun belt teams, bar chart race: https:/…"
neutral,0.75,"I pray Georgia Southern makes a change soon. It's a great school, but the racism is RUINING the reputation.","pray georgia southern makes change soon. great school, racism ruining reputation."
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neg,1.0,"RT @WSAVConnorD: Sports may be on hold, but the grind doesn’t stop for the Georgia Southern grounds crew!

Had a blast hanging and talking…","sports may hold, grind doesn’t stop georgia southern grounds crew! blast hanging talking…"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,@theangeljo Damn Georgia Southern really let illiterates come to this school.,damn georgia southern really let illiterates come school.
neutral,0.75,"RT @mfstern: What would you call the formed Covid19 coalition of Governors for Florida, Georgia, South Carolina, Tennessee, Alabama and Mis…","would call formed covid19 coalition governors florida, georgia, south carolina, tennessee, alabama mis…"
neg,1.0,Georgia Southern Men's Basketball Coach Brian Burg adds more transfers to roster https://t.co/9RI4f6PwmO,georgia southern men's basketball coach brian burg adds transfers roster
neg,1.0,"RT @d_s_anderson: @lunajade @ddale8 Things go bad in Georgia and trump will be ""I hardly know the guy, I hear he is the governor of some so…","things go bad georgia trump ""i hardly know guy, hear governor so…"
irrelevant,,"RT @NorahODonnell: By Friday, gyms, tattoo parlors, bowling alleys will be among the businesses permitted to re-open in Georgia, its govern…","friday, gyms, tattoo parlors, bowling alleys among businesses permitted re-open georgia, govern…"
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neg,1.0,"@philipaklein @JonahDispatch Well for one, relatively speaking, Georgia is still not nearly as locked down as Virginia is currently. My home state of Alabama is not nearly as locked down as Virginia is now. Virginia has gone to the opposite extreme of the other southern states.","well one, relatively speaking, georgia still nearly locked virginia currently. home state alabama nearly locked virginia now. virginia gone opposite extreme southern states."
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,@notkdk3 Is it against Georgia Southern or in the Iron Bowl...and how much time is left? 🤦‍♂️🤣,georgia southern iron bowl...and much time left? 🤦‍♂️🤣
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,"The men's basketball roster continues to grow in Statesboro. @WJCLNews 

https://t.co/wpYRFZRr5N",men's basketball roster continues grow statesboro.
neg,1.0,RT @wexler: Every southern governor since the  Civil War has dreamed of defying Yankee federal bureaucrats and the premature openings in Ge…,every southern governor since civil war dreamed defying yankee federal bureaucrats premature openings ge…
neg,1.0,RT @wexler: Every southern governor since the  Civil War has dreamed of defying Yankee federal bureaucrats and the premature openings in Ge…,every southern governor since civil war dreamed defying yankee federal bureaucrats premature openings ge…
neg,1.0,"RT @OCWarriorSoccer: Senior Spotlight: Cole McDermott, #24. Cole will attend Georgia Southern w/plans to go into construction management. H…","senior spotlight: cole mcdermott, 24. cole attend georgia southern w/plans go construction management. h…"
neg,1.0,"RT @AppStateNation: Wins Over FBS Opponents Since 2014 (App State and Georgia Southern join FBS), Sun Belt Teams, a bar chart race: https:/…","wins fbs opponents since 2014 (app state georgia southern join fbs), sun belt teams, bar chart race: https:/…"
pos,1.0,Robert hunt vs georgia southern is unfair,robert hunt vs georgia southern unfair
neg,1.0,Every southern governor since the  Civil War has dreamed of defying Yankee federal bureaucrats and the premature openings in Georgia and South Carolina are just the latest manifestation of that.,every southern governor since civil war dreamed defying yankee federal bureaucrats premature openings georgia south carolina latest manifestation that.
neg,1.0,"@lunajade @ddale8 Things go bad in Georgia and trump will be ""I hardly know the guy, I hear he is the governor of some southern state"".","things go bad georgia trump ""i hardly know guy, hear governor southern state""."
neg,1.0,"RT @wsbtv: Board names Spelman, Georgia Southern graduate as finalist for Atlanta Public Schools superintendent job https://t.co/FIB2TSo59w…","board names spelman, georgia southern graduate finalist atlanta public schools superintendent job"
neg,1.0,RT @_TheRealMayer_: The white people in SGA at Georgia Southern being racist https://t.co/tDMHKc6Pdd,white people sga georgia southern racist
irrelevant,,"@GovMikeHuckabee The Georgia governor is opening Massage parlors Mike Huckabee are you going to get a massage in Georgia you were a southern governor you know what massage parlor means in the south whorehouse, house of prostitution","georgia governor opening massage parlors mike huckabee going get massage georgia southern governor know massage parlor means south whorehouse, house prostitution"
neg,1.0,@FQACC Georgia Southern,georgia southern
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,RT @FOX5Atlanta: #BREAKING WASHINGTON (AP) -- Trump says he told Georgia governor 'I disagree strongly' with plans for reopening state. #fo…,breaking washington (ap) -- trump says told georgia governor 'i disagree strongly' plans reopening state. fo…
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
pos,1.0,RT @JuwanKSmith: It’s so important to get your voices heard at Georgia Southern. I’m so sick of the same thing happening over and over agai…,it’s important get voices heard georgia southern. i’m sick thing happening agai…
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @mfstern: What would you call the formed Covid19 coalition of Governors for Florida, Georgia, South Carolina, Tennessee, Alabama and Mis…","would call formed covid19 coalition governors florida, georgia, south carolina, tennessee, alabama mis…"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @GrammyGC5: Florida coordinating reopening with five southern states.

Mississippi, Alabama, Georgia, South Carolina, and Tennessee.
#On…","florida coordinating reopening five southern states. mississippi, alabama, georgia, south carolina, tennessee. on…"
irrelevant,,RT @MaxineSykes: @CJ_isnowblue @Yamiche Trump just threw Georgia’s governor under bus In fact he just threw that whole southern region unde…,trump threw georgia’s governor bus fact threw whole southern region unde…
neutral,0.75,I see Georgia Southern is doing what they do best.,see georgia southern best.
neutral,0.75,"RT @GrammyGC5: Florida coordinating reopening with five southern states.

Mississippi, Alabama, Georgia, South Carolina, and Tennessee.
#On…","florida coordinating reopening five southern states. mississippi, alabama, georgia, south carolina, tennessee. on…"
neg,1.0,"#Patriots need a kicker...no idea what they look for in a kicker. Bill Belichick has drafted just 2 in New England (Gostkowski and Owen Pochman). 

-Rodrigo Blankenship - Georgia
-Tyler Bass - Georgia Southern
-Logan Justus - Indiana",patriots need kicker...no idea look kicker. bill belichick drafted 2 new england (gostkowski owen pochman). -rodrigo blankenship georgia -tyler bass georgia southern -logan justus indiana
irrelevant,,@CJ_isnowblue @Yamiche Trump just threw Georgia’s governor under bus In fact he just threw that whole southern region under the bus https://t.co/ymhhPdOIkC,trump threw georgia’s governor bus fact threw whole southern region bus
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
pos,1.0,"RT @GSAthletics: Georgia Southern Athletics Set To Host Eagle Extravaganza; Full week of virtual events and challenges scheduled

DETAILS:…",georgia southern athletics set host eagle extravaganza; full week virtual events challenges scheduled details:…
neg,1.0,"RT @wsbtv: Board names Spelman, Georgia Southern graduate as finalist for Atlanta Public Schools superintendent job https://t.co/FIB2TSo59w…","board names spelman, georgia southern graduate finalist atlanta public schools superintendent job"
irrelevant,,RT @KTBrown305: Blessed to announce that I will be continuing my academic and athletic career at Georgia Southern University!Thank you to e…,blessed announce continuing academic athletic career georgia southern university!thank e…
neg,1.0,Southern sampler. So much in Georgia freaks me out...is pimento cheese the only redeeming quality!? https://t.co/a9s41LRHlB,southern sampler. much georgia freaks out...is pimento cheese redeeming quality!?
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,"RT @AppStateNation: Wins Over FBS Opponents Since 2014 (App State and Georgia Southern join FBS), Sun Belt Teams, a bar chart race: https:/…","wins fbs opponents since 2014 (app state georgia southern join fbs), sun belt teams, bar chart race: https:/…"
neg,1.0,"RT @GSUtruebluedrew: Georgia Southern at App State (October 31st, 2019) colorized: https://t.co/hAJpZYlC8K","georgia southern app state (october 31st, 2019) colorized:"
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neg,1.0,Mayors resist Southern governors' push to reopen despite coronavirus outbreak https://t.co/zQWS2NdLbC,mayors resist southern governors' push reopen despite coronavirus outbreak
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,"Georgia reopening their state is their response to try and stop the protests that are going on in a lot of the southern states, especially those people who refuse to wear masks. Hearing this, I'm thinking.... https://t.co/82uCrtxH3c","georgia reopening state response try stop protests going lot southern states, especially people refuse wear masks. hearing this, i'm thinking...."
pos,1.0,RT @OHIObso: Congrats to Graduate Assistant Brandon Dunford who will be the new Coordinator of New Student &amp; Family Programs at Georgia Sou…,congrats graduate assistant brandon dunford new coordinator new student &amp; family programs georgia sou…
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @JRehling: South Carolina, Georgia, Mississippi, Alabama, Florida, and Tennessee are getting together to do things their way. When has t…","south carolina, georgia, mississippi, alabama, florida, tennessee getting together things way. t…"
neutral,0.75,"RT @GrammyGC5: Florida coordinating reopening with five southern states.

Mississippi, Alabama, Georgia, South Carolina, and Tennessee.
#On…","florida coordinating reopening five southern states. mississippi, alabama, georgia, south carolina, tennessee. on…"
neg,1.0,RT @TheBroncosWire: #Broncos had a pre-draft video call with Georgia Southern cornerback Kindle Vildor. https://t.co/e4WybCbNZ8,broncos pre-draft video call georgia southern cornerback kindle vildor.
pos,1.0,RT @JuwanKSmith: It’s so important to get your voices heard at Georgia Southern. I’m so sick of the same thing happening over and over agai…,it’s important get voices heard georgia southern. i’m sick thing happening agai…
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
neg,1.0,RT @_TheRealMayer_: The white people in SGA at Georgia Southern being racist https://t.co/tDMHKc6Pdd,white people sga georgia southern racist
neg,1.0,"@dukewindsor388 Chorus:
That's the night their lungs went out in Georgia
That's the night that virus got loose again
Don't trust your soul to no back woods southern Governor
The GOP has coronavirus on their hands
-
#tytlive",chorus: that's night lungs went georgia that's night virus got loose trust soul back woods southern governor gop coronavirus hands tytlive
neutral,0.75,"RT @GrammyGC5: Florida coordinating reopening with five southern states.

Mississippi, Alabama, Georgia, South Carolina, and Tennessee.
#On…","florida coordinating reopening five southern states. mississippi, alabama, georgia, south carolina, tennessee. on…"
neutral,0.75,"RT @mfstern: What would you call the formed Covid19 coalition of Governors for Florida, Georgia, South Carolina, Tennessee, Alabama and Mis…","would call formed covid19 coalition governors florida, georgia, south carolina, tennessee, alabama mis…"
neg,1.0,Doesn’t sorry governor Georgia know anything we need barbershop etc need to open for   Business this fag governor needs his head examined I guess he’s just a sorry southern trailerhouse trash redneck shit,doesn’t sorry governor georgia know anything need barbershop etc need open business fag governor needs head examined guess he’s sorry southern trailerhouse trash redneck shit
neutral,0.75,"RT @KatiePhang: Florida, Georgia, South Carolina, Tennessee, Alabama, and Mississippi: just call them the #SickSix  https://t.co/a9LOadpKIJ","florida, georgia, south carolina, tennessee, alabama, mississippi: call sicksix"
pos,1.0,"RT @sonyaharris_: Republican governors in Mississippi, Alabama, Georgia, Florida, South Carolina, and Tennessee are coordinating to open th…","republican governors mississippi, alabama, georgia, florida, south carolina, tennessee coordinating open th…"
neutral,0.75,An SEC team should lose to sunbelt competition? Guess y’all should have scheduled Georgia southern a few years later then. https://t.co/Ly0oX5DIQW,sec team lose sunbelt competition? guess y’all scheduled georgia southern years later then.
pos,1.0,"To the great people of #georgia, #southcarolina and other southern states that are opening... thank you! You are about to embark on a huge social experiment and no one has any idea how it will turn out. 

I truly hope you are all safe. 

All evidence is to the contrary.","great people georgia, southcarolina southern states opening... thank you! embark huge social experiment one idea turn out. truly hope safe. evidence contrary."
neutral,0.75,"RT @GrammyGC5: Florida coordinating reopening with five southern states.

Mississippi, Alabama, Georgia, South Carolina, and Tennessee.
#On…","florida coordinating reopening five southern states. mississippi, alabama, georgia, south carolina, tennessee. on…"
neg,1.0,"RT @GSUtruebluedrew: Georgia Southern at App State (October 31st, 2019) colorized: https://t.co/hAJpZYlC8K","georgia southern app state (october 31st, 2019) colorized:"
